sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
ASV_251	0	0	0	0	111	0	0	64	0	494	0	83	0	0	0	0	0	0	0	206	0	15
ASV_252	56	0	0	0	381	0	0	0	0	92	0	0	0	107	0	0	92	0	26	29	0	201
ASV_253	129	0	0	416	0	107	0	0	137	0	0	0	777	0	11	93	0	42	0	0	127	0
ASV_254	0	0	0	0	0	0	0	39	0	0	0	0	14	13	25	2	0	0	0	31	7	110
ASV_255	0	0	0	0	813	0	0	0	12	24	0	0	0	120	0	53	24	0	0	0	0	0
ASV_256	0	0	0	50	0	0	0	0	35	0	0	0	81	0	0	156	0	118	0	0	1918	0
ASV_257	167	0	7	0	97	0	0	0	0	359	0	0	0	0	0	0	0	0	0	87	0	0
ASV_258	0	0	1123	2	0	20	0	12	58	0	0	0	0	0	0	0	0	29	0	396	24	0
ASV_259	0	0	0	0	74	0	0	10	0	0	0	46	0	0	0	0	0	0	0	39	0	1169
ASV_260	0	23	0	0	0	0	0	0	0	610	0	92	0	81	0	0	0	0	37	201	0	64
ASV_261	0	0	0	418	0	135	0	0	797	0	41	0	271	0	0	212	0	0	0	0	119	0
ASV_262	41	0	0	0	1035	0	0	758	0	0	0	67	0	0	0	0	0	0	40	392	0	0
ASV_263	0	0	0	158	0	0	45	0	980	0	37	0	283	0	0	56	0	182	0	34	189	0
